name,data_seal_pdf,address,cert_date,type,homepage
4TU.Datacentrum,https://assessment.datasealofapproval.org/assessment_187/seal/pdf,,28/01/2016,d,http://data.3tu.nl/
Archaeology Data Service,https://assessment.datasealofapproval.org/assessment_96/seal/pdf,,07/11/2013,d,http://archaeologydataservice.ac.uk/archives/
Banco de Información para la Investigación Aplicada en Ciencias Sociales (BIIACS),https://assessment.datasealofapproval.org/assessment_94/seal/pdf,,04/09/2013,d,http://www.biiacs.cide.edu/
BAS CLARIN,https://assessment.datasealofapproval.org/assessment_165/seal/pdf,,09/10/2015,d,https://clarin.phonetik.uni-muenchen.de/BASRepository/
CINES : Long-term Preservation Platform (PAC),https://assessment.datasealofapproval.org/assessment_160/seal/pdf,,06/03/2015,d,https://www.cines.fr/
CLARIN Center INL,https://assessment.datasealofapproval.org/assessment_106/seal/pdf,,23/06/2014,d,http://www.inl.nl/
CLARIN Centre Vienna,https://assessment.datasealofapproval.org/assessment_121/seal/pdf,"Austrian Center for Digital Humanities, Sonnenfelsgasse, Vienna, Austria",04/04/2014,d,http://clarin.oeaw.ac.at/ccv
CLARIN-D Resource Center Leipzig,https://assessment.datasealofapproval.org/assessment_164/seal/pdf,,30/04/2015,d,http://clarin.informatik.uni-leipzig.de/repo
Clarin-PL Repository,https://assessment.datasealofapproval.org/assessment_149/seal/pdf,,15/04/2015,d,https://clarin-pl.eu/dspace/
CLARIN.SI Repository,https://assessment.datasealofapproval.org/assessment_190/seal/pdf,"Institut /""Jožef Stefan/"", 39 Jamova cesta, Ljubljana 1000, SI",21/12/2015,d,https://www.clarin.si/repository/xmlui/
CLARIND-UDS,https://assessment.datasealofapproval.org/assessment_166/seal/pdf,,17/06/2015,d,http://fedora.clarin-d.uni-saarland.de/
CLARINO Bergen Repository,https://assessment.datasealofapproval.org/assessment_183/seal/pdf,"University of Bergen Library, Haakon Sheteligs plass, Bergen, Norway",03/11/2015,d,http://repo.clarino.uib.no/
DHS Data Access,https://assessment.datasealofapproval.org/assessment_113/seal/pdf,,18/08/2014,d,http://www.dhsdata.nl/
DIGITAL.CSIC,https://assessment.datasealofapproval.org/assessment_120/seal/pdf,,14/12/2015,d,https://digital.csic.es/
Edinburgh DataShare,https://assessment.datasealofapproval.org/assessment_175/seal/pdf,"University of Edinburgh, Edinburgh, United Kingdom",22/10/2015,d,http://datashare.is.ed.ac.uk/
GAMS (Geisteswissenschaftliches Asset Management System),https://assessment.datasealofapproval.org/assessment_143/seal/pdf,"Karl-Franzens-Universität Graz, Universitätsplatz, Graz, Austria",19/12/2014,d,http://gams.uni-graz.at/
German National Library/ Deutsche Nationalbibliothek (DNB),https://assessment.datasealofapproval.org/assessment_182/seal/pdf,,31/07/2015,d,http://www.dnb.de/
Goportis Digital Archive - German National Library of Economics (ZBW),https://assessment.datasealofapproval.org/assessment_158/seal/pdf,,15/09/2015,d,http://zbw.eu/
Goportis Digital Archive - German National Library of Science and Technology (TIB),https://assessment.datasealofapproval.org/assessment_157/seal/pdf,,14/09/2015,d,http://www.tib-hannover.de/en
Huygens ING: eLaborate,https://assessment.datasealofapproval.org/assessment_124/seal/pdf,,29/04/2014,d,https://www.elaborate.huygens.knaw.nl/
HZSK Repository,https://assessment.datasealofapproval.org/assessment_172/seal/pdf,,27/06/2015,d,https://corpora.uni-hamburg.de/
IDS Repository,https://assessment.datasealofapproval.org/assessment_170/seal/pdf,,22/05/2015,d,http://repos.ids-mannheim.de/
LINDAT-Clarin - Centre for Language Research Infrastructure in the Czech Republic,https://assessment.datasealofapproval.org/assessment_92/seal/pdf,,10/01/2014,d,https://ufal-point.mff.cuni.cz/
LISS panel data,https://assessment.datasealofapproval.org/assessment_204/seal/pdf,,23/03/2016,d,http://www.lissdata.nl/
Netherlands Institute for Sound and Vision (NISV),https://assessment.datasealofapproval.org/assessment_195/seal/pdf,,26/08/2016,d,http://www.beeldengeluid.nl/
Odum Institute Data Archive,https://assessment.datasealofapproval.org/assessment_93/seal/pdf,,19/09/2013,d,http://www.odum.unc.edu/odum/contentSubpage.jsp?nodeid=586
Oxford Research Archive for Data (ORA-Data),https://assessment.datasealofapproval.org/assessment_174/seal/pdf,,23/11/2015,d,http://ora.ox.ac.uk/
PROFILES Registry,https://assessment.datasealofapproval.org/assessment_110/seal/pdf,,09/08/2016,d,http://www.profilesregistry.nl/
PUB-Publications at Bielefeld University,https://assessment.datasealofapproval.org/assessment_141/seal/pdf,,09/03/2017,d,https://pub.uni-bielefeld.de/
"Repository of Charles University in Prague, Map Collection",https://assessment.datasealofapproval.org/assessment_184/seal/pdf,"Prague, Czechia",22/02/2016,d,http://repository.cuni.cz/
RU-IIEc,https://assessment.datasealofapproval.org/assessment_173/seal/pdf,,31/07/2015,d,http://ru.iiec.unam.mx/
SLUBArchiv,https://assessment.datasealofapproval.org/assessment_178/seal/pdf,"Zellescher Weg 18, 01069, Dresden, Germany",27/06/2015,d,http://www.slub-dresden.de/ueber-uns/slubarchiv/
Språkbanken CLARIN Repository,https://assessment.datasealofapproval.org/assessment_208/seal/pdf,,11/11/2016,d,https://repo.spraakbanken.gu.se/xmlui/
The Clarin centre at the University of Copenhagen,https://assessment.datasealofapproval.org/assessment_105/seal/pdf,,09/01/2014,d,http://info.clarin.dk/
TRAILS,https://assessment.datasealofapproval.org/assessment_99/seal/pdf,,21/05/2014,d,http://www.trails.nl/
Tübingen CLARIN-D Repository,https://assessment.datasealofapproval.org/assessment_168/seal/pdf,,19/05/2015,d,http://www.sfs.uni-tuebingen.de/ascl/clarin-center/repository.html
UCD Digital Library,https://assessment.datasealofapproval.org/assessment_153/seal/pdf,James Joyce Library University College Dublin Belfield Dublin 4,08/03/2015,d,http://digital.ucd.ie/
UK Data Archive,https://assessment.datasealofapproval.org/assessment_167/seal/pdf,,09/06/2015,d,http://www.data-archive.ac.uk/
University Information System RUSSIA,https://assessment.datasealofapproval.org/assessment_189/seal/pdf,,12/07/2016,d,http://uisrussia.msu.ru/
